"","name","review","rating"
"12","HALO SleepSack Micro-Fleece Wearable Blanket, Soft Pink, Small","Do not look at the weight ranges when deciding on a size.  My son is at the top end of the size large weight range, but this item will still fit him for many months.  Instead, look at the height ranges for a more accurate size determination.  My tall son is growing out of size 18-24 month clothing, but the size large sleepsack (size 12-18 months) will fit him for many more months.",5
"13","Fisher Price Newborn Rock \'n Play Sleeper - Split Rings","My son would not sleep anywhere else except right next to me in our bed.  We tried a cradle, bassonette, his crib, and anywhere else we could think of, but he would sleep for maybe 20 minutes after we put him down or an hour at the absolute most and then wake up.  We bought this when he was almost 3 months old and kept the receipt so if it didn\'t work we could take it back, but the very first night we had it he slept 6 hours straight in it!  It was a life saver, and now he is 4 months old and he sleeps in it every night for anywhere from 5-8 hours before he wakes up!",5
"14","Harmony Kids Round Back Glider, Blue Chenille","We ordered this chair before my daughter was born and have had it for almost four months now.  We looked at comparable chairs that were hundreds of dollars more expensive and decided to go with this one based on the great reviews.  The chair is very comfortable and sturdy.  We decided to purchase the matching ottoman as well, and I\'m glad we did.  We have spent many nights rocking our little one back to sleep in this chair.  Highly reccomend this chair for your nursery!",5
"15","Playtex Baby Embrace Breast Pump System - Replacement Tote Bag","It is great.  Everything fits perfectly and it is easy to carry.  It does not look like it holds a breast pump.",5
"16","Contours Options 3 Wheel Stroller, Berkley","Easy to assemble, rides smooth, and looks nice!  We love this stroller for our now 6 month old.  I really like that the baby can face me now and I can turn the seat to face forward later.",5
"17","Baby Einstein Activity Gym","My neice who\'s a sharp as a tac navy pilot had a baby this summer and when I asked her for advice on what to buy for a baby shower she said that this was the best item!  I bought it for my boss as a present and she and her husband have gone out of their way to thank me not once but several times!  They started using it when their baby was only a week old and say he loves it and that it never fails to stop him from crying.",5
"18","Summer Infant Sure &amp; Secure Walk-Thru Gate","I bought this gate because it was the only one I could find that fit at the bottom of the stairs at my house....big mistake. It was not too difficult to set up, although they could have made the process simpler, but OMG... it was impossible to open once installed.They advertise that you can open it with one hand, but people who can do that must be magicians. I could not open this gate even using both hands.Needless to say, it is going back to BabiesRUs and now I have to search for another gate that will fit my 39 inch opening at the bottom of the stairs.",NA
"19","Infantino Keeper Squeeze Pouch","I love this! It\'s the best invention ever!! It works so well. Cleans easily and I have tried it with many different foods.",5
"20","Baby Jogger City Mini GT Single Stroller - Black/Shadow","Rides like a Lexus. We\'ve used the stroller from birth until now&#8212;sans car seat hook up. Absolutely love it. Very worth the investment.",5
"21","HALO SleepSack 100% Cotton Swaddle, Soft Pink, Newborn","I recieved a few of these on my baby shower for my first born and didnt realize how wonderful they were until my son was almost 2 months old when I remembered they were sitting in the back of our closet. I have to say that they really do a great job at swaddling a newborn/infant and keeping him swaddled the entire night. My son loves it and already knows that as soon as his swaddle is on, it is &#34;night-night&#34; time. The only negative or downfall that I have found is that the swaddle gets very stretched out after a few weeks of daily use and needs to be completly replaced if continuing to swaddle.",5
"22","Bob Stroller Handlebar Console with Tire Pump, Single","The console part works great...worth buying it just for that, the pump on the other hand is a pain. I actually went and bought a different one that fits.",4
"23","Babymel Big Slouchy Diaper Bag,Twisted Khaki,One Size","I love this bag.  It is stylish and functional.  It has useful pockets inside for keeping all your bits and pieces, such as cream and bottles.  It comes with a cooler bag where you can keep one bottle (maybe two at a squeeze).  It also includes a matching changing mat, which is really handy.  It has a side pocket with a velcro enclosure.  It is large enough to hold a few disposable nappies, a change of clothes, a couple of bottles, some a small case of wipes, some barrier cream, a couple of muslin burp cloths, the change mat and still room for more.  It has a nice finish which you can wipe clean with a cloth.  If you love a good handbag, you\'ll appreciate the quality and functionality of this piece... why should you lose style when you have a baby?  Highly recommended.",5
"24","SwaddleDesigns zzZipMe Sack with 2-Way Zipper, Cotton Flannel Wearable Blanket, Angry Birds Baby, Yellow Bird 3- 6 Months","This sack is just too cute to resist - especially for anyone who loves the Angry Birds games.  I love Swaddle Designs products and this looks like a winner - the babies are still too young for me to say how the size will be in a few months, but it certainly looks as it it will be in use for a long time.",5
"25","Sunshine Kids Seat Belt Pillow, Grey","This is just as described.  My 6 year old uses it and says it\'s &#34;fine&#34;.  I think it would work for adult passengers who wish to take a nap.  It functions just fine for my 6 year old, but I sort of wish I had held out and bought him one of the character belt pillows with a little more personality.  It works for him, but he wasn\'t particularly excited about it.  It is a good value for the cost and much cheaper than a character pillow.",4
"26","The Shower Hug for Pregnant and Nursing Moms., X/S, White with Petal Pink Trim","The shower hug is a very luxurious product, especially while being sore from nursing. I loved using it after I had our twins and will continue to use it after the soreness has gone away.They are four months now and I still look forward to using it. Love the softness!!",5
"27","Neat Solutions Dora the Explorer Potty Topper Disposable Stick-in-Place Toilet Seat Covers, 10-Count","Comes in handy. My wife keeps a pack of these whenever we are leaving home just in case the kids have to use the bath room even at McDonald or any 3+ star hotel",5
"28","Fisher-Price Deluxe Newborn Rock N Play Sleeper, My Little Sweetie","We have this as well as the (absurdly expensive) MamaRoo, and my six-week-old vastly prefers this.He would spend 24 hours a day in his Rock n\' Play if I let him. He naps in it and is perfectly happy lounging in it awake during the day.I put him in a bassinet at night in hopes of making the transition to a crib easier, but honestly, when he\'s having a rough night, I\'ll sometimes let him sleep in the Rock n\' Play because it\'s pretty much magic. We also use this as a travel sleeper because it folds up so easily.I don\'t have the vibrating version, but I don\'t miss it. If you put the Rock n\' Play on a hard floor, he can rock himself by wiggling around. Otherwise, it\'s easy to nudge and get it rocking.LOVE this thing.",5
"29","Graco Travel Lite Table Chair Tango in the Tongo","This chair works great for us. We have a small dining room and a conventional high chair would not fit. So I ordered a Graco Travel Lite Table Chair. It fits perfectly in our space and our son loves it. It\'s a little tough to get him in and out, but that\'s not a big problem. It\'s also great because when we visit relatives we just take his high chair with us since most people don\'t have spare high chairs lying around. I definitely recommend this product for both daily use and travel.",NA
"30","Storksak Elizabeth Leather Diaper Bag -Tan","Quality is prime, love the smell of leather.  Got many compliments on it.  I don\'t like all the graphics of flowers and prints so this simple but yet elegant bag fits me.  This is a quality bag that will last for years and years and I can turn it into a personal bag for myself after my baby is older.  That saying &#34;you get what you pay for&#34; and this fit\'s that perfectly.  Lots of pockets inside for everything.  If you\'re a super big packer, this bag might not be for you.  It\'s a medium size bag and you can\'t stretch it too much.  There\'s a youtube video review where the girl is showing how much you can put inside the bag.  I\'m very happy with my purchase :)",NA
"31","Baby Trend Velocity Jogging Stroller - Cobblestone","This stroller is AWESOME! Despite many negative reviews, I went with my gut and purchased this stroller and am SO GLAD that I did. A 3 wheel stroller is necessary for walking my son in my neighborhood which has uneven sidewalks and hilly terrain. I only jog around a track, I wouldn\'t jog with this on sidewalks as it doesn\'t have much shock absorption. The seat lays back, almost flat and the sun visor adjusts - its PERFECT! So easy to put together and easily folds up. It does stand on its own when folded but does take up a considerable amount of space. I drive a crossover and there is plenty of room in the back to transport it. My only real concern is aside from not being able to figure out how to get the pedometer to work, the tray is VERY difficult to lift and put back into place. Unlike my old baby trend stroller there is no button to release the tray lock it has a very cheap red tab that locks it into place.",5
"32","Gate Installation Kit","I thought I was getting something more for the price, but really you could go to Home Depot and build your own for five bucks!",3
"33","Kissa\'s Newborn All-In-One Diaper, Green","I was really excited to use these diapers.  I put them on my baby registry and was thrilled to see that someone had bought them for me.  Once we were home from the hospital, I immediately put my little girl into a beautiful blue diaper!  It was adorable.  However, I think we may not have dried them long enough after the first few wash/dry cycles to prep them because out LO broke out in a yeast infection after about 3 days of wearing.  This, of course, caused us to have to strip and ""de-yeast"" our brand new diapers.  (no fault of the diapers themselves, just frustrating!)  Anyway, after that challenge, we were happily using the diapers for about 3 weeks.  Then, we noticed that our LO started to soak through the diapers at night.  She would wake up for middle of the night feedings and have to be completely changed because her clothes were soaked!  I was surprised that a 4 week old could soak through the diaper, but it happened nearly every night until we started using our hemp wipes as ""inserts.""  That solved the problem for a few days, but it wasn\'t a long-term fix.  Around week 5 we decided to give our pocket diapers (initially too big to fit) a try.  And thankfully they fit.  We\'ve switched to the pocket diapers and are much happier with the result.Bottom line:  The sizing is great for newborns.  The snap down for the cord is a great idea.  We found the absorbency to be an issue for our little one around 4 weeks old.  She could have fit into these diapers for another 4 weeks, but there is no way we could have contained her pee for that much longer without a doubler or some other soaker insert!These diapers are not worth $15/diaper for the length of time that they are usable.  I don\'t recommend these diapers.  I wish we would have saved our money and just used prefolds and inexpensive newborn covers for this stage. (or even, dare I say, disposables!!)  :)",2
"34","The First Years Jet Stroller, Red/Black","This stroller is lightweight and really easy to expand/collapse even when holding a squirming kid. It\'s comfortable and the compartment underneath is just big enough to fit a few essentials and the \'tray\' up top is also very handy and the right size for keys/phone/water bottle, etc.  It\'s also pretty sturdy and doesn\'t look like the cheapy strollers you see for $10 or whatever.  Overall I\'m pleased with it.  We bought it to take on vacation with us and it held up well and took a beating.  I have 2 cons - 1) the canopy is completely useless, but we\'ve solved that by using a hat instead; and 2) the handles are just a little low and close, I\'m 5\'6 and have to hunch just slightly when pushing it and they\'re also just a little to close to the stroller (meaning I occasionally kick the tires with my foot when walking).  Those issues are pretty minor and overall I\'m very pleased with it.  I have another larger, more expensive stroller that doesn\'t have those issues, but it\'s a project getting that thing in and out of a car or up/down stairs.  I find myself preferring this stroller and never even use the other one anymore.",4
"35","BABYBJORN Potty Chair - Red","This was my second purchase of a BabyBjorn potty chair.  I had bought my daughter one when she began potty training my 2 year old grandson, but not one for my home.  I was using a potty insert and a stool and found little Ben was having trouble getting on.  I asked how the BabyBjorn was working and she told me he uses it only.  She was so right, I am so happy to have purchased this; mine is blue and her\'s is red.  He loves it; it is sturdy, easy to clean, and does not move when he sits down or gets up.Wonderful item and I highly recommend for the daunting task of potty training!  I plan on this being my number #1 baby shower gift from now on!",5
"36","Baby Boom Nap Mat, Dino Adventure","This is perfect for school and the Dino lover.the pillow is just enough and the sheet are kinda thin but great for nap time",5
"37","Munchkin Mighty Grip Flip Straw Cup, 10 Ounce, Colors May Vary","My two 11 month olds have been using this cup for just over a month.  They seem to drink a lot more water with these cups as opposed to the regular sippy cups...no need to tip the cup back when you have a straw!It really does seem spill proof.  I use a strap (Sippigrip) to keep the cup from hitting the floor when in the high chair and stroller...and many times the cup is hanging upside down - and it doesn\'t leak.I also love how you can flip the straw down to keep it from getting dirty.  It makes it real easy to stick this cup in my purse to run an errand and not worry about the straw getting yucky.Cleaning/Assembly: Is pretty easy.  The directions are very good and shows you how to take apart the little flippy part on the lid.The part of the straw the kids suck on is soft...and my kids love to chew on it when not sucking on it...but the straw holds up just fine.I also bought a pair of ""Luv N\' Care Nuby 12 oz Mega Sipper"" and *I* like these (Munchkin) cups better from a leak and assembly point of view...although I think my kids may drink slightly better from the other (Nuby) cups.  The Nuby cups are BPA-free, I\'m not sure about these cups.The first time you use these, the parent/adult should suck on the straw first to make sure it is opened up.  Check the directions too - I\'m pretty sure I saw tips to make sure the straw is opened...otherwise your kid will get frustrated when they can\'t get the liquid to come up!I recommend these cups - I would buy another pair if I needed to!",5
"38","Mamas &amp; Papas Tour Stroller - Purple","Mamas and Papas is a high end brand. This umbrella stroller does not really live upto that standard. I have an iCOO stroller which I like a little more than this stroller. The biggest dislikes are that the incline function on this stroller is ridiculous... its a strap that you move up and down and it wont stay in place. There are no real incline positions. The next not great thing is that the under carriage is soo small. You can barely fit a regular hand bag in there. And you cannot access the carriage unless the child gets off. The best features of this stroller are the color and the strap to carry it when closed.",3
"39","The Learning Curve First Years True Choice Digital Monitor A100 with Crystal Clear Performance, Secure Privacy and Extended Range Signal","Item is good but it\'s voice is really very slow I mean the freguency of it other vise it\'s nice",1
"40","Lamaze Peek-A-Boo Puppy Cloth Book","I saw the one-star review of this book and HAD to write my own.  Here\'s why.  I have several of the Lamaze cloth books.  Some have words, some don\'t.  My 6-month-old LOVES these books!  She isn\'t at all patient with the board books, but there\'s something about these cloth books that make her sit perfectly and listen to the whole story - that Mommy makes up.  For some reason when I try to ""read"" a book with words, she gets a little bored.  But when I make up stories for Mittens the Kitten and Peek-a-Boo Puppy she sits captivated and listens.  These books, I don\'t know what it is about them but they deserve 5 stars for not only being made with baby-safe products but also getting my daughter\'s attention when other books don\'t.  I highly recommend these books.",5
"41","DK Leigh Owl 10 Piece Gender Neutral Crib Bedding Set, Yellow/Green","This is a very nice Bedding Set and the embroider owls are adorable . I received it in the mail yesterday and I am very happy with it. It does looks better in person since the colors are a bit more subtle . Although it\'s colorful it doesn\'t interfere with the neutrality in the baby nursery. I would definitely recommend this to a friend",NA
"42","Summer Infant Snuzzler, Ivory","I use the snuffler at home in baby\'s chair and I had to buy a second one to put in his carseat. He loves it so much. He doesn\'t like sitting in his seat when the snuzzler\'s in the wash and he has to wait on it. I take it out of the dryer and put him in it and he just falls fast asleep. It makes him feel like I\'m hugging him. I highly recommend it!",5
"43","Fisher-Price Booster Seat, Rainforest","This is a great product. We use it for travel. Sometimes we use it at home. My son is 15 months old and if we say food and the chair is on the floor, he goes over to the chair and sits down.",NA
"44","Itzbeen Pocket Nanny Baby Care Timer, Blue","I thought about getting an Itzbeen with my first, but opted not to.  There were so many other expenses, and really, I could use paper and pen.  With the birth of our second (and our first only 17months) I knew I was going to need something else.  This thing has been awesome! I highly recommend it.  My favorite part is the alarm that you can set for each function.  This is particularly helpful with feedings.  With my 1st child, we had to reset an alarm each time in the evening, which was one more thing keeping us from going back to sleep.  This is automatic so I never have to think about it.  I don\'t know how I would keep track of all this without this handy dandy device.Other favorites? Sturdy belt clip, small and light weight so it\'s easy to drag around with me, backlight, ""extra"" timer for anything (I\'ve been using it for my medication).So why not 5 stars?  I left off a star because there\'s one thing that would make this perfect.  A counter option.  For me, I would use it to count diapers.  That\'s the only thing that I still have to use paper for these days.  This thing would be perfect with that option.  Until then, practically perfect will have to do!",4
"45","Peg Perego 2012 Triplette SW Stroller- Java","The pram is very long and no good for public transport but is strong and sturdy plus looks great, easy to manoeuvre. My Triplets love it. It will get you noticed too.",5
"46","Baby Bee-Haven See n\' Store, Black","Does what it needs to do...Managed to get it onto a Quinny Moodd...should get an achievement for that as it took all my strength to stretch it out haha. But it does fit but very very tight...actually ripped a portion of the seam but got it on...",4
"47","NUK by Annabelle Karmel Mini Ice Lolly Set - BPA FREE","Perfect for teething babies! My baby loves them and can\'t get enough of them :) I recommend it to all new parents!",5
"48","Chicco Keyfit Car Seat Base","Not much to say since the product is a base unit to hold a baby carrier.  It functions as advertised.",5
"49","Dreambaby Extra Tall Swing Close Gate with Extensions, White","I purchased the extra tall pressure mounted gate because of the increased height, auto close feature, multi-directional swing and simple installation. The only issue I had was that I was short a mounting cup which was required according to the instructions. However the representative at the 800# assured me that those were only needed if mounting at top of stairs.",4
"50","Giant Peel &amp; Stick Nursery Decal - Forest Animals &amp; Flowers Tree for Boys &amp; Girls (Tree Assembles 4.7 Feet Tall)","This decal was the size I was hoping for.  Was alittle confusing at times because the directions were vague.  And as long as I took my time peeling off the stickers I didn\'t rip any.  Very cute on the wall.  Sticks very well.",4
"51","Graco Lovin\' Hug Open Top Swing in Clara","I bought this for my son, But I had to return it, I loved the product. But he was a little to big for it.",NA
"52","Kids Line Faux Fur/Satin Blanket, Sage","My granddaughter loves it. Just the right size in the back seat for brief excursions. Quality workmanship promises long life.",5
"53","lillebaby COMPLETE Original (Purple/Pink)","I might be the only mom I know who doesn\'t like the Ergo. It felt bulky to me and the snap behind the head was a hassle. I wanted a carrier I could use with my 2 month old with no clumsy infant insert, and also one that would face forward if I wanted.So, I was pleased to see this new carrier. I\'ve only owned it a week, so I will update this review as needed. My first impressions:1.) Not sure why the product description says purple/pink. There\'s no pink on this thing. It\'s purple. Nice color, though.2.) I hope I am wrong about this, but I think some of the Lillebaby customer reviews are suspect. When someone reviews five different Lillebaby carriers and gives them all glowing 5 star reviews, and has no other product reviews associated with their profile, that makes me think you maybe work for Lillebaby. Again, I have no way of proving that they\'ve posted fake customer reviews, but it did make me a little suspicious. That doesn\'t mean it\'s not a good product, it just might mean their marketing is kinda shady.3.) The carrier arrived with a ""lumbar support"" piece but there\'s no mention of how to use it in the instruction manual. I emailed the company about this and they responded right away, with a PDF of their revised instruction manual--which still does not explain how to use the lumbar support.My 2 month old seems to like it, so I am hopeful that we\'ll get lots of use out of it.",NA
"54","Kushies Washable Pre-folded Diapers, White","My daughter-in-law is expecting my first grandchild in December and has asked me if I could make her some  cute decorated burp rags. I purchased a dozen cheaper diapers at the Babies R Us store thinking they would soften upon washing, they did not.  (they are now in my rag bag)  At the time, they were the ONLY pre-folded diapers available in the store.After reading other reviews, I purchased  these flannel pre-folded diapers and they are INCREDIBLY soft!  There is no comparision with the others.  I\'m sure she will find many uses for them.I am also very pleased with the delivery.  They actually arrived the day before they were suppose to.",5
"55","Nurtria Basic Storage Containers 6 pack - Green","Perfect for snacks , and baby food, no lick, and nice colors, but little bit hard to open, is good!!!",5
"56","The First Years Babypro Sterilizer","Its a great idea but needs improvement.Dont use this to clean breast flow bottle nipples...they will start to melt.Hard to clean but fits many many things to clean.",NA
"57","Philips Avent 3 Pack 9oz Bottles","I was happy to read that other mothers have had problems with this bottle leaking and it wasn\'t just me doing something incorrectly. I recieved 2 Avent bottles as a free promotion and decided to try them. When they don\'t leak - I like the bottle very much. Sometimes I can get through a feed without a leak and sometimes I can\'t. I\'ve kept the bottles as spares.",3
"58","Fisher-Price Booster Seat, Blue/Green/Gray","We use this chair for our 11 month old grandson. It straps onto our dining chairs very securely, seems comfortable for him, and doesn\'t look too bad either. We are very pleased with it.",5
"59","Chicco KeyFit 30 Infant Car Seat, Midori","This seat is the sports car of child seat. I got the red color (Fuego), and the first thing I noticed is that it turned a lot of heads when I walked in the stores with it. The seat is very well padded and it looks like a race car seat, its a buket seat.I brought this seat to match my read Contours Options Tandem Stroller. Again, if you want to get notice, get the red seat. I actually like going to the store just to show off. I must also add that this seat is very light also.",5
"60","OXO Tot Bowl Set, Green","I ordered this along with the OXO Tot spoon set to feed my son his first solid purees that I make at home. The small bowl is perfect size and it is easy to scoop the food out.  I actually purchased another set locally today.",5
"61","Thermos Foogo Leak-Proof Stainless Steel 10-Ounce Food Jar, Pink","My daughter has been using it for her school lunches, and it\'s perfect - easy to open and close, fits well in her lunch bag.",5
"62","Bumkins Diaper Cover - Pink Nova Newborn","I purchased this off of a registry for a friend\'s baby shower. I personally never saw the product, but the mom-to-be told me she loves it.",4
"63","Nature Babycare Training Pants - Size 6 - 18 ct","These fit more comfortably for my son than the big name brands.  They don\'t leak, and are safer for the environment and child.  So glad to find these training pants.",NA
"64","BRICA Deluxe Snack Pod Stroller Drink and Snack Holder, Gray","Fits on our stroller, our push tricycle, and car seat.  A very versatile, very convenient attachment if you have little ones.  Keeps snacks and drinks handy.",5
"65","Evenflo Purely Comfi Nipple, 2 Pack, Slow Flow","These are awfully fast flowing to be considered a slow flow nipple.... the milk just pours right out of them. No thanks. My baby was choking and gagging because it was too fast for her!!!",NA
"66","Guava Kids Unisex Baby Guava Mitts - Bubbles/Lime - Small/Medium","I would have rated it 5/5 if only the colors for both the hands would have matched. One was brown and other one was black",NA
"67","Skip Hop Bath Spout Cover, Moby","This product is cute but I\'m not sure about it. It keeps my son from bonking his head on the faucet but he tried to pull the tail and fell back into the tub. He was fine and landed on his bum but he is seriously obsessed with the faucet now that it is cute and blue. It was almost better when he wasn\'t interested in it! :)",3
"68","Kiddopotamus SwaddleMe Cotton Knit Small 7-14 Pounds In Blue","I love these.  They are so easy to use, I made sure to bring one to the hospital for the birth of our 2nd daughter!  I was never comfortable with my square-blanket swaddling skills, but I never worried using this.  Unfortunately I left it in the maternity ward and had to buy another!",NA
"69","Kinderglo Portable Fun and Safe Rechargeable Night Light, Elephant","I love this night light so far. Was skeptical about it because it was not what I was looking for initially and it looked strange with the online photos. The elephant comes off the blue charging stand and turns on automatically. Each color lights the room differently so if I want enough light to feed the baby I can use green. If I want less light while he is sleeping red works too. I\'m sure when he\'s older he will pick his own colors, but doesn\'t matter at 2 months!Light never gets hot and actually lasts a really long time without needing to charge. Easy to carry around the house if I have to walk with the baby too.",5
"70","Hot Pink Dance or Ballet Leotard with Straps Medium Fits 2-4 Years","Was excited for this to arrive and had my daughter try it on right away......it fit fine every where but across the bust.  Toooooo small and she is only 4 and I bought the 4 to 6 size.",3
"71","My Brest Friend Pregnancy Wedge, Sunburst","Once my belly got big, sleeping was very uncomfortable. This wedge helped support my belly, and made sleeping more pleasant.",NA
"72","Best Bottom Cloth Diaper Shell-Hook and Loop, Very Cherry","I ordered this diaper with snaps and got one with velcor. The mother-to-be specifically requested snaps because it reduces the risk of catching on the baby and I had to return it and rush deliver the right diaper. Good thing amazon was awesome and rushed me a diaper from a different company. 5 stars for Amazon, 1 for this seller.",1
"73","Bebe Dubon Fork and Spoon with Travel Case, Colors May Vary","I bought to buy boy but it came pink. I still not using. I wish I can choose color!!!!!! I don\'t know about this product because i didn\'t use",1
"74","Kushies &quot;On the Go&quot; 2 Pack Wet Bag, Green  (Patterns and Colors May Vary)","The waterproofness last, but  the seems let go fairly soon and the pull ties get stuck and won\'t close the bag after they have gone through the wash several times. We never dry in the dryer, so we have been fairly nice to them. However, their price is rather cheap so it is to be expected.",3
"75","Tommee Tippee Explora Truly Spill Proof Water Bottle 2pk Boy (Colors/Styles May Vary)","I love these cups, I\'ve used them for my boys for years. However, I am unhappy with this order, I feel the description was not completely clear on what will vary.  The cups I received are completely different cups then pictured, the smaller cups with handles. I anticipated that the color and picture would vary, but not the cup itself.",2
"76","Sassy Travel Case with Fork and Spoon, Colors May Vary","Product itself is fine but I didn\'t care for the pink one that I received. Hard to believe you\'re not able to select the color you want.",NA
"77","Pickles True Timber Camo New Conceal Baby Blanket, Yellow Lab, 16&quot;","Was not really what I expected.  Very, very, tiny, more like a burping rag.  It is very cute & soft.",3
"78","Fisher-Price Space Saver High Chair, Mocha Butterfly","This is a great chair.  It has all the features of a regular highchair, but doesn\'t take up half my kitchen! I love that it reclines very easily. And I love that it\'s super eay to clean. This was definitely a best buy for our family! I highly recommend.",5
"79","Fisher-Price Cradle \'N Swing,  My Little Snugabunny","Keeps my baby (right now 3 months and 13 lbs) entertain. My adult friends want a grown-up version :)Pro:Music selection is good.3 directions of swinging (not a wow feature for me, but ok).2 positions of laying - flat or a little tilted up.Mirror and the rotating birdie friends gets baby\'s attention.Use batteries or plug-in (like its flexibility).Able to wash the ""beddings"".Con:Speed of the swing (I only use level 1 because I already think it is too much motion. Cannot imagine using higher level.)It\'s a bit bulky and cannot move it from one spot to another spot easily - I have not tried to fold it.The canopy does nothing, only for decoration.",4
"80","Badger Basket Three Bin Storage Cubby, Blue","We ordered this piece with the additional piece that can be stacked on top.  First, the quality for the price is amazing.  This piece was a cinch to piece together and went together well.  Packaging was good; there were no scratches, dents or dings on this piece at all.There are two cons: The smell is pretty strong.  I almost wonder if it\'s not formaldahyde or something similar in the wood.  It\'s very strong and hasn\'t dissipated in the four days it\'s been in our living room.  The second con is that the instructions say that hardware is included to bracket two pieces together.  This is true--the caveat is that apparently they are expecting you to stack two of the same pieces together.  We purchased the bookcase-type piece to stack on top and each of the pieces came with brackets to connect the same piece. There were no cross-style brackets.All in all, I am happy (wish the smell wasn\'t a factor).  The three bins took the place of three fabric bins AND two large plastic tubs that were full of toys.  My 17 month old clapped and laughed when he saw what daddy had built for him.",4
"81","Skip Hop Studio Diaper Bag, Black Dot","Love it.  It lets you be a mommy with fashion.  Lots of pockets to keep baby anf mommy stuff organized.  It is the right size not too big not too small.  Love the fact in can be hang on the stroller.  Definitedly recommend this diaper bag it was worth every penny",NA
"82","Evenflo Nurture Infant Car Seat, Button Floral","The carrying handle could use another adjustment setting & the canopy needs a piece of plastic on the back side of it so it can be more functional in shading the baby. Without the support in the back of the canopy it can only be used in the one position depicted in the photo. Other than those few things, it is very cute but not overly girly.  The fabric makes it easy to just wipe messes away so you dont have to take cover off & wash it as often.",NA
"83","Lamaze Play &amp; Grow Jacques the Peacock Take Along Toy","This is my 6 month old\'s new favorite toy.  He likes the crinkly noise and the many colors.",5
"84","Baby\'s My First Photo Album of Family &amp; Friends","Put family pictures in these for my Grandson & my Granddaughter for Easter, everyone just loved them! These hold about 15 pictures which were quite a few more pages than other books I was looking for. The only thing I could say bad about them was I felt the stitching wasn\'t very even, so the pictures didn\'t always line up straight. I think a little more attention at quality instead of quantity would help!!",5
